 20250215-065905,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_022_2f3ffb53 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_022_2f3ffb53,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.879876 - logloss: 0.795283
 20250215-073107,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_023_a9e4a605 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_023_a9e4a605,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.902307 - logloss: 0.652550
 20250215-081021,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_024_4c24f583 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_024_4c24f583,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.906919 - logloss: 0.575011
 20250215-083349,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_025_f50bbb6c --gpu 0,[exp_id] DIN_MicroLens_1M_x1_025_f50bbb6c,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.887799 - logloss: 0.750517
 20250215-085659,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_026_22dafefa --gpu 0,[exp_id] DIN_MicroLens_1M_x1_026_22dafefa,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.896353 - logloss: 0.667913
 20250215-092158,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_027_83cc4fa2 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_027_83cc4fa2,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.881248 - logloss: 0.724229
 20250215-100019,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_028_dc9c74c9 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_028_dc9c74c9,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.889324 - logloss: 0.947303
 20250215-102445,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_029_4e07fa7b --gpu 0,[exp_id] DIN_MicroLens_1M_x1_029_4e07fa7b,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.886246 - logloss: 0.974913
 20250215-110121,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_030_2f7e38d8 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_030_2f7e38d8,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.893981 - logloss: 0.925837
 20250215-112407,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_031_2ac6c251 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_031_2ac6c251,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.881509 - logloss: 1.006408
